Time,Stop,Name,Address,Keyword,Duration
9:00AM,0,The Salvation Army - Fountain Square,"1337 Shelby Street, Indianapolis",['church'],1 hour
10:00AM,1,Shapiro's Delicatessen,"808 South Meridian Street, Indianapolis",['restaurant'],1 hour
1:00PM,2,Long-Sharp Gallery,"1 North Illinois Street suite a, Indianapolis",['art_gallery'],3 hour
4:00PM,3,West Side Shoppes,"West 10th Street, Indianapolis",['shopping_mall'],3 hour
9:00PM,4,Easley Winery,"205 North College Avenue, Indianapolis",['tourist_attraction'],5 hour
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
